;;preco;qtidade
ESTADO SÃO PAUL;April 2016;7,0;17,0
ESTADO SÃO PAUL;May 2016;6,0;17,2
ESTADO SÃO PAUL;June 2016;10,0;16,3
ESTADO SÃO PAUL;July 2016;8,0;16,6
ESTADO SÃO PAUL;August 2016;8,0;16,8
ESTADO SÃO PAUL;September 2016;8,0;16,7
ESTADO SÃO PAUL;October 2016;7,0;17,0
ESTADO SÃO PAUL;November 2016;9,0;16,7
ESTADO SÃO PAUL;December 2016;10,0;16,5
ESTADO SÃO PAUL;January 2017;5,0;17,4
ESTADO SÃO PAUL;February 2017;6,0;17,0
ESTADO SÃO PAUL;March 2017;5,0;17,5
ESTADO SÃO PAUL;April 2017;9,0;16,6
ESTADO SÃO PAUL;May 2017;5,0;17,3
ESTADO SÃO PAUL;June 2017;8,0;16,8
ESTADO SÃO PAUL;July 2017;7,0;16,9
ESTADO SÃO PAUL;August 2017;9,0;16,6
ESTADO SÃO PAUL;September 2017;5,0;17,5
ESTADO SÃO PAUL;October 2017;5,0;17,4
ESTADO SÃO PAUL;November 2017;5,0;17,4
ESTADO SÃO PAUL;December 2017;9,0;16,7
ESTADO SÃO PAUL;January 2018;7,0;17,0
ESTADO SÃO PAUL;February 2018;8,0;16,7
ESTADO SÃO PAUL;March 2018;5,0;17,5
ESTADO SÃO PAUL;April 2018;5,0;17,6
ESTADO SÃO PAUL;May 2018;8,0;16,6
ESTADO SÃO PAUL;June 2018;7,0;16,9
ESTADO SÃO PAUL;July 2018;10,0;16,4
ESTADO SÃO PAUL;August 2018;8,0;16,7
ESTADO SÃO PAUL;September 2018;10,0;16,3
ESTADO SÃO PAUL;October 2018;7,0;16,9
ESTADO SÃO PAUL;November 2018;10,0;16,4
ESTADO SÃO PAUL;December 2018;8,0;16,9
ESTADO SÃO PAUL;January 2019;10,0;16,6
ESTADO SÃO PAUL;February 2019;7,0;16,8
ESTADO SÃO PAUL;April 2019;9,0;16,6
ESTADO SÃO PAUL;October 2019;8,0;16,7
GOIÁS;February 2010;9,0;16,6
GOIÁS;October 2010;6,0;17,3
GOIÁS;December 2010;5,0;17,4
GOIÁS;January 2012;8,0;16,8
GOIÁS;June 2013;6,0;17,2
GOIÁS;July 2013;10,0;16,6
GOIÁS;September 2013;8,0;16,6
GOIÁS;October 2013;10,0;16,4
GOIÁS;November 2013;10,0;16,6
GOIÁS;December 2013;6,0;17,3
GOIÁS;January 2014;7,0;17,0
GOIÁS;February 2014;7,0;17,0
GOIÁS;March 2014;10,0;16,4
GOIÁS;April 2014;5,0;17,6
GOIÁS;May 2014;7,0;17,1
GOIÁS;June 2014;10,0;16,5
GOIÁS;July 2014;5,0;17,5
GOIÁS;August 2014;9,0;16,7
GOIÁS;September 2014;8,0;16,6
GOIÁS;October 2014;10,0;16,3
GOIÁS;November 2014;7,0;16,9
GOIÁS;December 2014;8,0;16,8
GOIÁS;January 2015;5,0;17,5
GOIÁS;April 2015;8,0;16,8
GOIÁS;May 2015;6,0;17,3
GOIÁS;November 2015;6,0;17,3
GOIÁS;January 2016;8,0;16,6
GOIÁS;April 2016;6,0;17,3
GOIÁS;May 2016;10,0;16,4
GOIÁS;June 2016;7,0;17,1
GOIÁS;July 2016;9,0;16,7
GOIÁS;August 2016;10,0;16,5
GOIÁS;September 2016;9,0;16,7
GOIÁS;November 2016;9,0;16,5
GOIÁS;December 2016;10,0;16,6
GOIÁS;January 2017;10,0;16,3
GOIÁS;June 2017;7,0;16,9
GOIÁS;August 2017;7,0;17,0
GOIÁS;November 2017;8,0;16,6
GOIÁS;April 2018;10,0;16,5
GOIÁS;July 2018;9,0;16,7
GOIÁS;August 2018;6,0;17,3
GOIÁS;September 2018;7,0;16,8
MARANHÃO;January 2010;9,0;16,7
MARANHÃO;February 2010;10,0;16,3
MARANHÃO;May 2010;9,0;16,7
MARANHÃO;July 2010;6,0;17,2
MARANHÃO;January 2011;6,0;17,2
MARANHÃO;January 2015;9,0;16,5
MARANHÃO;March 2015;5,0;17,6
MARANHÃO;April 2015;9,0;16,5
MARANHÃO;December 2015;5,0;17,6
MARANHÃO;April 2016;7,0;16,8
MARANHÃO;October 2016;8,0;16,9
MARANHÃO;December 2016;6,0;17,2
MARANHÃO;April 2017;6,0;17,2
MARANHÃO;August 2017;6,0;17,0
MARANHÃO;November 2017;8,0;16,9
MARANHÃO;November 2018;5,0;17,4
MATO GROSSO;December 2010;5,0;17,5
MATO GROSSO;August 2014;7,0;16,8
MATO GROSSO;October 2014;5,0;17,5
MATO GROSSO;November 2014;10,0;16,3
MATO GROSSO;December 2014;7,0;16,9
MATO GROSSO;January 2015;9,0;16,8
MATO GROSSO;March 2015;7,0;16,9
MATO GROSSO;May 2015;6,0;17,3
MATO GROSSO;October 2015;6,0;17,3
MATO GROSSO;November 2015;8,0;16,9
MATO GROSSO;December 2015;5,0;17,3
MATO GROSSO;February 2016;10,0;16,4
MATO GROSSO;March 2016;5,0;17,4
MATO GROSSO;May 2016;5,0;17,4
MATO GROSSO;June 2016;7,0;17,1
MATO GROSSO;July 2016;6,0;17,1
MATO GROSSO;February 2017;10,0;16,4
MATO GROSSO;August 2017;10,0;16,5
MATO GROSSO;September 2017;5,0;17,4
MATO GROSSO;January 2018;7,0;17,1
MATO GROSSO;September 2018;5,0;17,6
MATO GROSSO SUL;October 2014;5,0;17,5
MATO GROSSO SUL;December 2014;5,0;17,4
MATO GROSSO SUL;January 2015;9,0;16,5
MATO GROSSO SUL;April 2015;6,0;17,0
MATO GROSSO SUL;May 2015;10,0;16,4
MATO GROSSO SUL;July 2015;10,0;16,3
MATO GROSSO SUL;August 2015;6,0;17,0
MATO GROSSO SUL;October 2015;6,0;17,1
MATO GROSSO SUL;November 2015;7,0;17,0
MATO GROSSO SUL;June 2016;6,0;17,1
MATO GROSSO SUL;July 2016;10,0;16,5
MATO GROSSO SUL;August 2016;10,0;16,3
MATO GROSSO SUL;October 2016;6,0;17,2
MATO GROSSO SUL;January 2017;10,0;16,4
MATO GROSSO SUL;February 2017;5,0;17,6
MATO GROSSO SUL;March 2017;5,0;17,5
MATO GROSSO SUL;August 2017;5,0;17,6
MATO GROSSO SUL;January 2018;6,0;17,1
MATO GROSSO SUL;January 2019;9,0;16,6
MINAS GERAIS;December 2009;9,0;16,4
MINAS GERAIS;January 2010;9,0;16,4
MINAS GERAIS;February 2010;6,0;17,3
MINAS GERAIS;March 2010;7,0;16,8
MINAS GERAIS;October 2010;6,0;17,3
MINAS GERAIS;November 2010;8,0;16,9
MINAS GERAIS;December 2010;5,0;17,6
MINAS GERAIS;July 2011;6,0;17,2
MINAS GERAIS;November 2011;8,0;16,8
MINAS GERAIS;July 2013;10,0;16,5
MINAS GERAIS;September 2013;8,0;16,7
MINAS GERAIS;October 2013;9,0;16,6
MINAS GERAIS;November 2013;7,0;16,9
MINAS GERAIS;December 2013;9,0;16,7
MINAS GERAIS;January 2014;7,0;16,8
MINAS GERAIS;February 2014;5,0;17,6
MINAS GERAIS;March 2014;9,0;16,5
MINAS GERAIS;April 2014;7,0;17,0
MINAS GERAIS;May 2014;9,0;16,7
MINAS GERAIS;June 2014;7,0;17,1
MINAS GERAIS;July 2014;7,0;16,8
MINAS GERAIS;August 2014;5,0;17,3
MINAS GERAIS;September 2014;10,0;16,5
MINAS GERAIS;October 2014;5,0;17,5
MINAS GERAIS;November 2014;8,0;16,6
MINAS GERAIS;December 2014;6,0;17,4
MINAS GERAIS;January 2015;9,0;16,5
MINAS GERAIS;February 2015;8,0;16,7
MINAS GERAIS;March 2015;7,0;17,0
MINAS GERAIS;April 2015;5,0;17,6
MINAS GERAIS;May 2015;9,0;16,6
MINAS GERAIS;June 2015;7,0;16,8
MINAS GERAIS;July 2015;6,0;17,2
MINAS GERAIS;August 2015;5,0;17,3
MINAS GERAIS;September 2015;6,0;17,1
MINAS GERAIS;October 2015;7,0;16,9
MINAS GERAIS;November 2015;6,0;17,2
MINAS GERAIS;December 2015;9,0;16,5
MINAS GERAIS;January 2016;9,0;16,7
MINAS GERAIS;February 2016;8,0;16,8
MINAS GERAIS;March 2016;7,0;17,1
MINAS GERAIS;April 2016;9,0;16,7
MINAS GERAIS;May 2016;10,0;16,4
MINAS GERAIS;June 2016;6,0;17,2
MINAS GERAIS;July 2016;6,0;17,4
MINAS GERAIS;August 2016;6,0;17,1
MINAS GERAIS;September 2016;5,0;17,5
MINAS GERAIS;October 2016;7,0;16,9
MINAS GERAIS;November 2016;7,0;17,1
MINAS GERAIS;December 2016;6,0;17,4
MINAS GERAIS;January 2017;9,0;16,5
MINAS GERAIS;February 2017;6,0;17,0
MINAS GERAIS;March 2017;8,0;16,9
MINAS GERAIS;May 2017;9,0;16,5
MINAS GERAIS;June 2017;6,0;17,3
MINAS GERAIS;July 2017;5,0;17,3
MINAS GERAIS;August 2017;5,0;17,4
MINAS GERAIS;September 2017;7,0;17,1
MINAS GERAIS;October 2017;8,0;16,6
MINAS GERAIS;November 2017;8,0;16,9
MINAS GERAIS;December 2017;7,0;17,1
MINAS GERAIS;January 2018;5,0;17,3
MINAS GERAIS;February 2018;10,0;16,4
MINAS GERAIS;April 2018;10,0;16,4
MINAS GERAIS;May 2018;7,0;17,0
MINAS GERAIS;June 2018;8,0;16,7
MINAS GERAIS;July 2018;5,0;17,4
MINAS GERAIS;August 2018;8,0;16,8
MINAS GERAIS;October 2018;10,0;16,3
MINAS GERAIS;November 2018;9,0;16,7
PARÁ;February 2010;9,0;16,7
PARÁ;January 2011;10,0;16,6
PARÁ;April 2014;7,0;17,0
PARÁ;February 2015;7,0;16,9
PARÁ;March 2015;7,0;17,1
PARÁ;September 2015;8,0;16,9
PARÁ;December 2017;7,0;17,1
PARÁ;January 2018;5,0;17,5
PARÁ;March 2018;8,0;16,7
PARÁ;November 2018;9,0;16,7
PARAÍBA;March 2010;7,0;16,8
PARAÍBA;April 2010;7,0;16,9
PARAÍBA;October 2010;10,0;16,4
PARAÍBA;March 2014;6,0;17,2
PARAÍBA;September 2014;9,0;16,6
PARAÍBA;October 2014;9,0;16,7
PARAÍBA;November 2014;6,0;17,1
PARAÍBA;January 2015;9,0;16,5
PARAÍBA;March 2015;6,0;17,1
PARAÍBA;April 2015;6,0;17,2
PARAÍBA;June 2015;10,0;16,4
PARAÍBA;August 2015;7,0;16,8
PARAÍBA;November 2015;8,0;16,7
PARAÍBA;January 2016;5,0;17,6
PARAÍBA;April 2016;5,0;17,5
PARAÍBA;May 2016;10,0;16,6
PARAÍBA;July 2016;8,0;16,6
PARAÍBA;October 2016;10,0;16,6
PARAÍBA;November 2016;9,0;16,7
PARAÍBA;December 2016;7,0;17,0
PARAÍBA;May 2017;10,0;16,3
PARAÍBA;June 2017;9,0;16,7
PARAÍBA;July 2017;9,0;16,7
PARAÍBA;August 2017;6,0;17,1
PARAÍBA;November 2017;5,0;17,6
PARAÍBA;January 2018;9,0;16,7
PARAÍBA;March 2018;9,0;16,6
PARAÍBA;May 2018;9,0;16,4
PARAÍBA;August 2018;7,0;17,0
PARAÍBA;December 2018;10,0;16,3
PARAÍBA;February 2019;7,0;16,8
PARANÁ;December 2009;8,0;16,8
PARANÁ;January 2010;6,0;17,3
PARANÁ;February 2010;9,0;16,6
PARANÁ;March 2010;8,0;16,6
PARANÁ;April 2010;10,0;16,4
PARANÁ;May 2010;9,0;16,6
PARANÁ;June 2010;7,0;17,0
PARANÁ;July 2010;5,0;17,6
PARANÁ;August 2010;8,0;16,9
PARANÁ;October 2010;8,0;16,7
PARANÁ;November 2010;7,0;16,8
PARANÁ;December 2010;9,0;16,5
PARANÁ;January 2011;10,0;16,4
PARANÁ;February 2011;5,0;17,4
PARANÁ;March 2011;8,0;16,8
PARANÁ;April 2011;7,0;16,9
PARANÁ;May 2011;5,0;17,5
PARANÁ;June 2011;7,0;17,0
PARANÁ;July 2011;6,0;17,1
PARANÁ;August 2011;10,0;16,3
PARANÁ;September 2011;7,0;16,9
PARANÁ;February 2013;7,0;16,8
PARANÁ;March 2013;10,0;16,3
PARANÁ;June 2013;8,0;16,7
PARANÁ;July 2013;5,0;17,6
PARANÁ;November 2013;5,0;17,3
PARANÁ;December 2013;8,0;16,9
PARANÁ;January 2014;7,0;16,9
PARANÁ;February 2014;8,0;16,8
PARANÁ;March 2014;10,0;16,3
PARANÁ;April 2014;6,0;17,3
PARANÁ;May 2014;5,0;17,4
PARANÁ;June 2014;7,0;16,9
PARANÁ;July 2014;10,0;16,4
PARANÁ;August 2014;6,0;17,1
PARANÁ;September 2014;10,0;16,6
PARANÁ;October 2014;10,0;16,4
PARANÁ;November 2014;10,0;16,6
PARANÁ;December 2014;9,0;16,6
PARANÁ;January 2015;10,0;16,4
PARANÁ;February 2015;7,0;16,8
PARANÁ;March 2015;9,0;16,6
PARANÁ;April 2015;10,0;16,3
PARANÁ;May 2015;8,0;16,9
PARANÁ;June 2015;7,0;17,0
PARANÁ;July 2015;8,0;16,9
PARANÁ;August 2015;7,0;17,0
PARANÁ;September 2015;6,0;17,2
PARANÁ;October 2015;5,0;17,5
PARANÁ;November 2015;5,0;17,5
PARANÁ;December 2015;7,0;17,0
PARANÁ;January 2016;8,0;16,7
PARANÁ;February 2016;8,0;16,8
PARANÁ;March 2016;7,0;17,0
PARANÁ;April 2016;10,0;16,4
PARANÁ;May 2016;7,0;17,1
PARANÁ;June 2016;10,0;16,4
PARANÁ;July 2016;6,0;17,2
PARANÁ;August 2016;8,0;16,9
PARANÁ;September 2016;7,0;17,1
PARANÁ;October 2016;10,0;16,5
PARANÁ;November 2016;8,0;16,7
PARANÁ;December 2016;10,0;16,3
PARANÁ;January 2017;5,0;17,4
PARANÁ;February 2017;8,0;16,7
PARANÁ;March 2017;10,0;16,6
PARANÁ;April 2017;6,0;17,3
PARANÁ;May 2017;7,0;17,1
PARANÁ;June 2017;7,0;16,8
PARANÁ;July 2017;6,0;17,2
PARANÁ;August 2017;5,0;17,3
PARANÁ;September 2017;6,0;17,3
PARANÁ;October 2017;5,0;17,6
PARANÁ;November 2017;9,0;16,5
PARANÁ;December 2017;7,0;17,0
PARANÁ;January 2018;7,0;16,8
PARANÁ;February 2018;8,0;16,6
PARANÁ;March 2018;8,0;16,9
PARANÁ;April 2018;6,0;17,2
PARANÁ;May 2018;7,0;17,0
PARANÁ;June 2018;9,0;16,5
PARANÁ;July 2018;6,0;17,3
PARANÁ;August 2018;7,0;16,9
PARANÁ;November 2018;7,0;17,0
PARANÁ;January 2019;10,0;16,6
PARANÁ;February 2019;7,0;17,1
PARANÁ;March 2019;5,0;17,5
PARANÁ;April 2019;10,0;16,4
PERNAMBUCO;December 2009;8,0;16,8
PERNAMBUCO;January 2010;6,0;17,3
PERNAMBUCO;February 2010;9,0;16,6
PERNAMBUCO;June 2010;9,0;16,6
PERNAMBUCO;August 2010;9,0;16,6
PERNAMBUCO;October 2010;6,0;17,1
PERNAMBUCO;November 2010;7,0;17,1
PERNAMBUCO;December 2010;10,0;16,3
PERNAMBUCO;May 2012;10,0;16,3
PERNAMBUCO;November 2012;5,0;17,5
PERNAMBUCO;January 2014;6,0;17,3
PERNAMBUCO;April 2014;8,0;16,9
PERNAMBUCO;August 2014;8,0;16,7
PERNAMBUCO;October 2014;9,0;16,6
PERNAMBUCO;November 2014;5,0;17,6
